,,,,,,,,,,,,,,,,,
ABDL,,,,,,,,,,,,,,,,,
Finde den Fehler,,,,,,,,,,,,,,,,,
,,Baby (f),Baby (m),Jugendliche (f),Jugendlicher (m),"ABDL (20, f)","ABDL (20, m)","ABDL (40, f)","ABDL (40, m)","ABDL (60, f)","ABDL (60, m)","Normale Erwachsen (20, f)","Normal Erwachsen (20, m)","Normale Erwachsen (40, f)","Normal Erwachsen (40, m)","Erwachsen (60, f)","Erwachsen (60, m)"
,,,,,,,,,,,,,,,,,
Davon Windel-Träger,,100%,100%,5%,1%,100%,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Teddy Bär,,80%,80%,50%,10%,50%,50%,50%,50%,50%,50%,3%,3%,10%,3%,0%,0%
,,,,,,,,,,,,,,,,,
Baby-Haut,,100%,100%,80%,80%,90%,70%,60%,80%,80%,80%,90%,50%,40%,20%,80%,80%
,,,,,,,,,,,,,,,,,
epiliert,,,,80%,20%,99%,90%,90%,80%,90%,70%,80%,5%,10%,5%,10%,5%
,,,,,,,,,,,,,,,,,
zart,,90%,90%,90%,60%,98%,80%,90%,60%,60%,60%,50%,50%,40%,20%,30%,20%
,,,,,,,,,,,,,,,,,
runzlig,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
behaart,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
ungepflegt,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
